　　名称（入力）,WKT（入力）,閉店情報（入力）,ジャンル（入力）,和食カテゴリー（入力）,洋食カテゴリー（入力）,その他カテゴリー（入力）,販売カテゴリー（入力）,駐車場情報（入力）,キャッシュレス（入力）,月曜定休日（入力）,火曜定休日（入力）,水曜定休日（入力）,木曜定休日（入力）,金曜定休日（入力）,土曜定休日（入力）,日曜定休日（入力）,祝祭定休日（入力）,定休日について（入力）,営業開始時間１（入力）,営業終了時間１（入力）,営業開始時間２（入力）,営業終了時間２（入力）,関連情報（入力）,Google マップで見る（入力）,問い合わせ（入力）,所在地（入力）,地区（入力）,営業時間,北緯,東経,座標,名称,ジャンル,カテゴリー,駐車場情報,キャッシュレス,月曜,火曜,水曜,木曜,金曜,土曜,日曜,祝祭,定休日について,関連情報,Google マップで見る,問い合わせ,所在地
二ツ亀第１駐車場,POINT (138.4868097 38.32845990000001),,駐車場,,,,,,,,,,,,,,,,,,,,,https://maps.google.com/?cid=6397693045501503705,,,,情報なし,38.32845990000001,138.4868097,"138.4868097,38.3284499",二ツ亀第１駐車場,駐車場,,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,https://maps.google.com/?cid=6397693045501503705,情報なし,情報なし
二ツ亀第２駐車場,POINT (138.4854186 38.3276154),,駐車場,,,,,,,,,,,,,,,,,,,,,https://maps.google.com/?cid=9332930055487561370,,,,情報なし,38.3276154,138.4854186,"138.4854186,38.3276054",二ツ亀第２駐車場,駐車場,,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,https://maps.google.com/?cid=9332930055487561370,情報なし,情報なし
大野亀第一駐車場,POINT (138.466622 38.32019889999999),,駐車場,,,,,,,,,,,,,,,,,,,,,https://maps.google.com/?cid=3274868317185287800,,,,情報なし,38.32019889999999,138.466622,"138.466622,38.3201888999999",大野亀第一駐車場,駐車場,,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,https://maps.google.com/?cid=3274868317185287800,情報なし,情報なし
