　　名称（入力）,WKT（入力）,閉店情報（入力）,ジャンル（入力）,和食カテゴリー（入力）,洋食カテゴリー（入力）,その他カテゴリー（入力）,販売カテゴリー（入力）,駐車場情報（入力）,キャッシュレス（入力）,月曜定休日（入力）,火曜定休日（入力）,水曜定休日（入力）,木曜定休日（入力）,金曜定休日（入力）,土曜定休日（入力）,日曜定休日（入力）,祝祭定休日（入力）,定休日について（入力）,営業開始時間１（入力）,営業終了時間１（入力）,営業開始時間２（入力）,営業終了時間２（入力）,関連情報（入力）,Google マップで見る（入力）,問い合わせ（入力）,所在地（入力）,地区（入力）,営業時間,北緯,東経,座標,名称,ジャンル,カテゴリー,駐車場情報,キャッシュレス,月曜,火曜,水曜,木曜,金曜,土曜,日曜,祝祭,定休日について,関連情報,Google マップで見る,問い合わせ,所在地
キッチンよろこんで原黒店,POINT (138.443379 38.0740332),FALSE,面白い定食屋,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,無休 (月2回店休あり),11:00,14:00,16:30,21:00,"https://www.s-taira.jp/yorokonde/ https://www.visitsado.com/spot/detail0930/ https://www.instagram.com kitchen_yorokonde/",https://maps.google.com/?cid=13343443214351248282,0259-67-7726,佐渡市原黒109,両津地区,11:00〜14:00＆16:30〜21:00,38.0740332,138.443379,"138.443379,38.0740232",キッチンよろこんで原黒店,面白い定食屋,和食,情報なし,情報なし,11:00〜14:00＆16:30〜21:00,11:00〜14:00＆16:30〜21:00,11:00〜14:00＆16:30〜21:00,11:00〜14:00＆16:30〜21:00,11:00〜14:00＆16:30〜21:00,11:00〜14:00＆16:30〜21:00,11:00〜14:00＆16:30〜21:00,11:00〜14:00＆16:30〜21:00,無休 (月2回店休あり),"https://www.s-taira.jp/yorokonde/ https://www.visitsado.com/spot/detail0930/ https://www.instagram.com/kitchen_yorokonde/",https://maps.google.com/?cid=13343443214351248282,0259-67-7726,佐渡市原黒109
ベリーズ,POINT (138.4093574 38.0536464),FALSE,オーガニック ショップ,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"土日祝は10時から営業、季節によって時間変動有",13:00,18:00,,,https://www.berries-sado.com/,https://maps.google.com/?cid=4724787823011809285,0259-67-7662,佐渡市下横山750-1,両津地区,13:00〜18:00,38.0536464,138.4093574,"138.4093574,38.0536364",ベリーズ,オーガニック ショップ,洋食＆販売,情報なし,情報なし,13:00〜18:00,13:00〜18:00,13:00〜18:00,13:00〜18:00,13:00〜18:00,13:00〜18:00,13:00〜18:00,13:00〜18:00,"土日祝は10時から営業、季節によって時間変動有",https://www.berries-sado.com/,https://maps.google.com/?cid=4724787823011809285,0259-67-7662,佐渡市下横山750-1
