　　名称（入力）,WKT（入力）,閉店情報（入力）,ジャンル（入力）,和食カテゴリー（入力）,洋食カテゴリー（入力）,その他カテゴリー（入力）,販売カテゴリー（入力）,駐車場情報（入力）,キャッシュレス（入力）,月曜定休日（入力）,火曜定休日（入力）,水曜定休日（入力）,木曜定休日（入力）,金曜定休日（入力）,土曜定休日（入力）,日曜定休日（入力）,祝祭定休日（入力）,定休日について（入力）,営業開始時間１（入力）,営業終了時間１（入力）,営業開始時間２（入力）,営業終了時間２（入力）,関連情報（入力）,Google マップで見る（入力）,問い合わせ（入力）,所在地（入力）,地区（入力）,営業時間,北緯,東経,座標,名称,ジャンル,カテゴリー,駐車場情報,キャッシュレス,月曜,火曜,水曜,木曜,金曜,土曜,日曜,祝祭,定休日について,関連情報,Google マップで見る,問い合わせ,所在地
大野亀ロッジ,POINT (138.4665294 38.319763),FALSE,シーフード・海鮮料理店,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12月～3月は休み,9:00,16:00,,,"https://www.instagram.com/explore/tags/%E5%A4%A7%E9%87%8E%E4%BA%80%E3%83%AD%E3%83%83%E3%82%B8/?hl=ja&img_index=1 https://www.visitsado.com/spot/detail0346/ https://r.goope.jp/sr-15-152191s0008/",https://maps.google.com/?cid=498854198932706027,0259-26-2410,佐渡市願149,両津地区,9:00〜16:00,38.319763,138.4665294,"138.4665294,38.319753",大野亀ロッジ,シーフード・海鮮料理店,和食,情報なし,情報なし,9:00〜16:00,9:00〜16:00,9:00〜16:00,9:00〜16:00,9:00〜16:00,9:00〜16:00,9:00〜16:00,9:00〜16:00,12月～3月は休み,"https://www.instagram.com/explore/tags/%E5%A4%A7%E9%87%8E%E4%BA%80%E3%83%AD%E3%83%83%E3%82%B8/?hl=ja&img_index=1 https://www.visitsado.com/spot/detail0346/ https://r.goope.jp/sr-15-152191s0008/",https://maps.google.com/?cid=498854198932706027,0259-26-2410,佐渡市願149
メレパレカイコ,POINT (138.5055334 38.2495718),FALSE,オーガニック レストラン,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,11:00,15:00,,,"https://www.facebook.com/merepalekaiko/ https://www.visitsado.com/spot/detail0950/",https://maps.google.com/?cid=17232257260313300169,0259-26-2856,佐渡市虫崎213,両津地区,11:00〜15:00,38.2495718,138.5055334,"138.5055334,38.2495618",メレパレカイコ,オーガニック レストラン,洋食,情報なし,情報なし,定休日,定休日,11:00〜15:00,11:00〜15:00,11:00〜15:00,11:00〜15:00,11:00〜15:00,11:00〜15:00,情報なし,"https://www.facebook.com/merepalekaiko/ https://www.visitsado.com/spot/detail0950/",https://maps.google.com/?cid=17232257260313300169,0259-26-2856,佐渡市虫崎213
