　　名称（入力）,WKT（入力）,閉店情報（入力）,ジャンル（入力）,和食カテゴリー（入力）,洋食カテゴリー（入力）,その他カテゴリー（入力）,販売カテゴリー（入力）,駐車場情報（入力）,キャッシュレス（入力）,月曜定休日（入力）,火曜定休日（入力）,水曜定休日（入力）,木曜定休日（入力）,金曜定休日（入力）,土曜定休日（入力）,日曜定休日（入力）,祝祭定休日（入力）,定休日について（入力）,営業開始時間１（入力）,営業終了時間１（入力）,営業開始時間２（入力）,営業終了時間２（入力）,関連情報（入力）,Google マップで見る（入力）,問い合わせ（入力）,所在地（入力）,地区（入力）,営業時間,北緯,東経,座標,名称,ジャンル,カテゴリー,駐車場情報,キャッシュレス,月曜,火曜,水曜,木曜,金曜,土曜,日曜,祝祭,定休日について,関連情報,Google マップで見る,問い合わせ,所在地
トム,POINT (138.4325336 38.0848582),FALSE,スナック,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,https://maps.google.com/?cid=12528835334109960782,0259-27-6336,佐渡市両津夷180,,情報なし,38.0848582,138.4325336,"138.4325336,38.0848482",トム,スナック,,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,https://maps.google.com/?cid=12528835334109960782,0259-27-6336,佐渡市両津夷180
スナックハッピー,POINT (138.431724 38.0847863),FALSE,スナック,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,https://maps.google.com/?cid=17633441048918922484,0259-23-2331,佐渡市両津夷176−2,,情報なし,38.0847863,138.431724,"138.431724,38.0847763",スナックハッピー,スナック,,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,情報なし,https://maps.google.com/?cid=17633441048918922484,0259-23-2331,佐渡市両津夷176−2
