　　名称（入力）,WKT（入力）,閉店情報（入力）,ジャンル（入力）,和食カテゴリー（入力）,洋食カテゴリー（入力）,その他カテゴリー（入力）,販売カテゴリー（入力）,駐車場情報（入力）,キャッシュレス（入力）,月曜定休日（入力）,火曜定休日（入力）,水曜定休日（入力）,木曜定休日（入力）,金曜定休日（入力）,土曜定休日（入力）,日曜定休日（入力）,祝祭定休日（入力）,定休日について（入力）,営業開始時間１（入力）,営業終了時間１（入力）,営業開始時間２（入力）,営業終了時間２（入力）,関連情報（入力）,Google マップで見る（入力）,問い合わせ（入力）,所在地（入力）,地区（入力）,営業時間,北緯,東経,座標,名称,ジャンル,カテゴリー,駐車場情報,キャッシュレス,月曜,火曜,水曜,木曜,金曜,土曜,日曜,祝祭,定休日について,関連情報,Google マップで見る,問い合わせ,所在地
しまの縁(えにし),POINT (138.3498759 38.0765904),FALSE,レストラン,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,平スキー場の営業期間のみ,9:00,16:00,,,,https://maps.google.com/?cid=4448043852486238873,0259-63-4050,佐渡市金井新保 丙2 佐渡市平スキー場,金井地区,9:00〜16:00,38.0765904,138.3498759,"138.3498759,38.0765804",しまの縁(えにし),レストラン,和食,情報なし,情報なし,定休日,定休日,定休日,定休日,定休日,9:00〜16:00,9:00〜16:00,9:00〜16:00,平スキー場の営業期間のみ,情報なし,https://maps.google.com/?cid=4448043852486238873,0259-63-4050,佐渡市金井新保 丙2 佐渡市平スキー場
食事処ひぐち・樋口食堂,POINT (138.3950397 38.0498675),FALSE,寿司店,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,11:00,14:00,17:00,22:00,https://www.visitsado.com/spot/detail0360/,https://maps.google.com/?cid=15576408087756922572,0259-63-6645,佐渡市吉井本郷502-5,金井地区,11:00〜14:00＆17:00〜22:00,38.0498675,138.3950397,"138.3950397,38.0498575",食事処ひぐち・樋口食堂,寿司店,和食,情報なし,情報なし,11:00〜14:00＆17:00〜22:00,11:00〜14:00＆17:00〜22:00,11:00〜14:00＆17:00〜22:00,11:00〜14:00＆17:00〜22:00,11:00〜14:00＆17:00〜22:00,11:00〜14:00＆17:00〜22:00,定休日,11:00〜14:00＆17:00〜22:00,情報なし,https://www.visitsado.com/spot/detail0360/,https://maps.google.com/?cid=15576408087756922572,0259-63-6645,佐渡市吉井本郷502-5
